pp,Age,Gender,Speed 1 (OFF),Speed 2 (ON),Speed 3 (OFF),Speed 4 (ON),Speed 5 (OFF),Speed 6 (ON),Speed 7 (OFF),Speed 8 (ON),Speed 9 (OFF),Speed 10 (ON),Speed 11 (OFF),Speed 12 (ON),Speed 13 (OFF),Speed 14 (ON),Speed 15 (OFF),Speed 16 (ON),Speed 17 (OFF),Speed 18 (ON),Move Raw Avg,Move Norm Diff,Avg Text Rat,Rat Norm OFF,Rat Norm ON,Rat Norm Diff,Years Music,Music Hours,Years Dance,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Enjoyment,Body Feel,Sensation,Sensation Frequency,Sensation Compare,Movement Rating,Sensation Compulsion,Sensation Pleasantness,Loudness Preference
1,31,Female,65.53511556,63.59908476,49.49390324,61.09791565,46.57907567,53.50082546,49.95918318,37.71355041,31.19246771,65.92039003,47.87847019,51.18011245,37.00316875,63.20656657,59.68854893,55.53018976,41.94943573,61.74519352,52.3763,0.1787,,,,,15,0,0,11,8,13,7,11,7,7,"feat,occasionaly chest",9,6,3,5,7,5
2,23,male,203.3812979,146.8861504,149.9971796,168.4477378,259.748569,263.675561,279.2694787,170.073292,281.1201784,338.0405417,307.1134876,330.4642814,321.3043941,324.7871741,327.4293668,335.7996542,318.4012531,344.2125437,270.5640,-0.0104,,,,,,,,11,8,12,13,13,9,9,chest,1,9,9,5,5,6
3,45,Male,68.48557672,69.46338212,89.83882683,94.9760158,116.4078172,102.4795273,102.4331864,110.2719271,107.8396111,144.9316343,132.8870066,140.1242755,115.4188068,135.360161,144.6441002,135.0791801,96.13639943,118.3383476,112.5064,0.0760,,,,,18,4,0,8,4,10,6,12,8,5,mild vibration,4,3,6,3,7,5
4,21,Female,107.8227483,115.7972619,159.8361233,120.306821,157.4197645,98.17809825,92.28872729,83.16132611,122.6202328,290.2675395,236.4190944,194.3982289,219.6682915,301.8304481,238.138649,140.3672179,119.9204712,148.2876569,163.7072,0.0261,8,0.8750,1.1250,0.2500,0,0,18,14,5,14,3,12,9,9,"through the feet,behind the eyes",2,7,7,,,
5,,,196.0439291,250.9506171,278.3225297,360.2233014,357.4747989,317.8090816,313.4725514,305.9750018,365.5193405,451.8653601,479.9363243,453.0396156,408.8943851,365.8612514,421.4769448,404.3695382,395.0403438,385.4680189,361.7635,0.0244,7.25,0.9655,1.0345,0.0690,,,,,,,,,8,2,Low bass levels,1,1,5,9,8,6
6,36,Female,48.66386981,73.62663411,60.11437494,58.22657443,55.87670287,48.58301034,36.47237404,57.53175204,49.89611024,53.09481886,62.6290259,69.61306386,67.47422285,79.69119478,54.00879019,45.0570155,39.6173612,48.25406726,56.0239,0.1169,5,0.9000,1.1000,0.2000,30,12.5,34,8,8,3,5,14,7,9,"head,feet,legs",2,7,6,4,6,5
7,,,94.60795811,285.3358538,231.0884107,273.0240293,322.1781458,302.7626049,394.5326874,330.8617798,330.7984432,355.0687866,322.4498541,390.1828532,292.0802564,342.4731972,364.0772288,306.4000843,281.8745396,245.3062177,303.6168,0.0724,,,,,0,0,50,9,13,13,4,14,7,5,Lower Less,3,5,7,7,8,8
8,41,Male,65.95610774,57.08713065,75.11244685,63.03260563,83.9997851,110.8777757,52.34808376,105.3066238,92.32985291,138.6803543,133.0875286,200.4013565,124.418297,106.598525,72.88188209,122.1999698,88.05440872,79.59131714,98.4424,0.2208,,,,,6,3,0,6,5,12,3,13,8,5,gently throughout,4,3,3,5,9,4
9,20,Female,116.7651812,99.75213672,150.6861646,117.9755995,130.4919441,112.1624307,109.0126305,88.36492935,139.7455912,198.8641961,184.4506624,202.7927071,172.6985938,199.7231104,191.8160606,145.1248649,107.2418976,133.6861817,144.5197,-0.0034,8,1.1250,0.8750,-0.2500,,,,10,10,9,5,12,9,8,"feet,neck,back of head,around side of head",2,8,8,8,7,5
10,45,Female,301.80945,368.4134408,373.2925993,318.6385838,364.5504192,415.8764288,318.2554083,241.6752721,393.543052,453.1135704,420.5841219,381.4538995,401.5738077,384.8467422,307.7376371,266.9477544,325.1929489,350.9016324,354.9115,-0.0077,9,1.0000,1.0000,0.0000,0,0,20,5,8,10,11,13,9,9,"chest,hips full sensation",9,8,9,2,2,9
11,34,Female,64.87779387,65.02564588,55.20639338,86.97319675,68.77245391,78.602376,56.93698033,91.73854603,87.19124954,95.30282855,65.33003433,92.02922669,74.45896379,84.93305877,68.99699543,76.63542162,84.09591338,89.35944188,77.0259,0.1944,5.5,0.9091,1.0909,0.1818,25,0,10,9,7,11,5,10,6,2,feet,4,2,2,,,
12,,,,,174.2199204,215.55025,237.9506544,221.1391024,211.5014803,224.916943,209.0035466,255.804694,242.3469975,234.0744535,188.1908144,277.6970204,196.0641763,189.4718856,173.9834828,188.3719376,215.0180,0.1010,,,,,,,,,,,,,6,4,could not feel bass vibration in my chest as I am used to-noticed sound surround and movement of sound 360 degree at times,,3,6,9,8,7
13,33,Female,38.17824815,41.94949582,32.42408993,67.10178673,50.5383523,78.68384519,41.34252614,79.49804107,51.43610964,85.57655836,45.27399071,75.90938209,44.30304807,71.69380848,42.61711489,76.21084309,34.05761212,,56.2821,0.5301,,,,,23,0.5,0,10,8,10,4,12,4,6,Bass vibrating from feet,1,5,4,,,
14,43,Female,51.73027586,51.66233426,47.70185183,64.71168739,61.30524123,68.34274868,64.15764909,65.58741222,51.82912793,73.90151239,61.67458623,73.8997381,49.71067137,53.78059933,47.35820113,48.99454025,38.60842172,47.42867257,56.7992,0.1452,,,,,,,,6,6,14,9,7,6,8,,,4,4,7,8,8
15,32,Female,181.9969082,266.5431976,184.8313749,194.5993935,232.6308769,226.2214763,144.6480707,187.8455296,258.2926182,249.0998709,281.6540282,289.9414486,238.264211,350.324964,253.3261307,162.6036185,162.6299087,204.075774,226.0850,0.0948,,,,,4,2,7,11,12,9,5,12,,,,,,,7,8,
16,33,Male,203.3385781,323.5381566,298.6366157,258.7326287,362.4383532,194.3998387,123.2899464,113.0525835,368.0913386,382.8859645,349.7818247,442.5693837,425.603623,488.5496338,423.3294031,214.5812262,111.0791984,301.2738908,299.1762,0.0201,,,,,21,17.5,0,8,10,10,8,9,,,,,,,9,8,5
17,41,Male,141.19531,152.8539812,124.3127469,107.5079502,103.156449,125.5941746,143.5809617,181.5454283,132.9472565,183.7934161,86.47937972,188.3103021,120.755394,170.0796142,164.391865,92.17174768,,,138.6672,0.1668,5.5,1.0909,0.9091,-0.1818,30,0,0,11,8,8,5,10,5,7,"brain,butt",,5,6,,,
18,27,Female,80.91262505,114.3981748,102.1371448,117.8045048,138.8791574,154.5584624,128.9612891,119.7283898,174.0888965,234.2282998,189.903719,235.6870931,129.6136926,151.8939524,165.7950036,177.3500547,72.37336119,114.7389555,144.6140,0.1826,7,1.0000,1.0000,0.0000,3,4,0,10,4,11,14,12,7,6,"ASMR in my brain,some bas vibration",7,7,9,4,5,5
19,52,Female,86.69715812,88.33625565,102.9624594,162.730098,210.2941808,140.2356968,147.9611246,160.5753875,182.358239,314.5305994,306.5890391,247.7719663,217.4507125,265.825056,215.5046523,240.0925693,,140.0553929,189.9983,0.0623,7.5,1.0667,0.9333,-0.1333,45,2,40,8,13,13,6,11,8,9,Chest,2,7,7,7,9,7
20,,,67.75823405,106.3566292,104.3748266,132.4475032,234.7433172,281.4422105,342.6264593,328.1042149,382.9504351,522.7362336,428.4939162,441.8057856,320.9769095,551.4197993,362.6001524,123.2102653,59.79543255,,281.8731,0.1948,,,,,40,9,31,8,14,10,5,12,7,9,Intensity depended greatly on music.Where in the body depended on the music.,2,5,7,2,3,2
21,15,Female,47.52051741,59.98352394,65.90807395,79.4770232,57.84507812,64.33572092,70.32037846,56.06719201,55.93282195,67.49014118,55.43537739,84.0595183,,,,,,,63.6979,0.1529,,,,,0,0,6,8,9,10,7,11,5,7,I felt the sensation was of the beat,3,2,2,,,5
22,14,Female,97.39803412,98.13194184,91.8939005,119.8746148,82.5846991,94.24774884,99.95513429,72.61859569,82.60059491,88.48669801,62.79116139,121.0532461,,,,,,,92.6364,0.1389,7.5,0.8000,1.2000,0.4000,12,30,9,10,12,13,9,14,4,8,Really felt the beat,2,3,4,9,9,8
23,15,Female,85.12310007,99.3196085,116.5335073,116.5629637,74.93006345,78.92152124,109.251849,64.1421312,51.87539276,63.90122911,48.0141506,82.08783826,,,,,,,82.5553,0.0388,6.5,0.9231,1.0769,0.1538,10,10,4,5,9,10,6,9,3,8,Felt the beat through me,2,3,5,5,5,9
24,38,Male,94.70688301,170.6459061,175.2984279,196.7281413,205.1885161,209.0687741,198.6518374,183.8685986,192.6737892,304.1967358,296.0053252,287.7680463,,,243.6302277,233.1587709,,,213.6850,0.1199,,,,,,,,7,8,10,9,9,7,2,,8,1,3,4,4,4
25,31,Female,,99.96558331,94.7381257,116.9931601,143.225691,142.854689,126.8577076,129.6590673,163.8632559,235.0441325,260.6723452,291.5228939,177.2406969,246.7157083,209.4182966,,,,174.1980,0.0711,,,,,15,0,21,7,11,13,8,12,,,,,,,6,7,7
26,,,88.86682502,103.0459118,91.38752992,103.9386355,116.3809813,128.5755782,84.41114008,82.89264042,114.4390832,93.11140297,,125.3145364,113.5255962,108.8998744,134.11822,137.6240338,94.19286724,89.59171774,106.4892,0.0324,,,,,,,,,,,,,9,8,upper torso ,6,8,8,7,7,5
27,51,Female,181.433617,228.312874,308.5745323,279.491227,287.9764018,318.2350607,75.18409295,221.6411973,290.5273903,363.4312334,257.3436416,309.901506,231.9996366,,,,,,258.0040,0.2075,,,,,,,,13,10,12,3,12,8,9,"Vibration/Fingertips,Chest",,6,9,4,9,8
28,55,Male,,,,368.9615399,408.3270208,383.4716373,401.1721345,491.7308566,479.9430153,475.7458052,368.6057774,,338.1550088,477.0272637,436.3435869,415.5239412,387.2808175,321.7629944,411.0037,0.0398,,,,,30,1,30,14,12,12,5,14,9,9,,5,9,9,8,8,7
29,32,Female,221.2239529,262.8053526,219.3152842,256.6925096,354.5536453,278.4469188,,141.7897697,257.7398284,419.9050111,319.3063732,374.377904,297.9431145,56.1903469,47.18066731,,,153.0300013,244.0334,-0.0099,,,,,0,0,10,8,10,12,8,9,,,,,,,6,7,6
30,39,Non-binary,99.77816654,37.46195739,78.04273571,121.4078006,103.1257153,94.36080469,,,,,,,,,,,,,89.0295,-0.1038,,,,,21,25,25,5,5,11,9,14,3,1,"Nothing,aside from ear drums",,1,2,3,7,8
31,41,Female,117.2605708,110.8821307,123.2831742,142.585867,161.6190785,157.8733716,174.9366652,,,,,214.3178559,166.1330848,221.9784222,209.7653225,,,,163.6941,0.0653,,,,,0,0,20,10,10,13,10,14,7,1,very little.The music was excellent but the sound was lacking in low end frequencies.,9,1,4,5,6,4
32,42,Female,96.93751576,140.84273,145.8836574,190.0825222,241.5763755,185.1367878,162.5292352,171.709448,,,,,,,,,,,166.8373,0.0612,,,,,0,0,10,11,9,2,4,14,5,6,Chest at times,7,4,4,9,9,9
33,40,Female,61.06136596,73.57245532,53.06326482,115.0213703,105.1288505,132.042179,133.4730665,83.44489454,93.83095837,136.1517109,120.8216907,134.1426248,83.17079613,121.5536541,116.3878555,96.22273919,51.59714072,86.33722436,99.8347,0.1780,5,0.6,1.4,0.8,3,0,0,13,12,12,5,13,6,8,"in my chest,in my feet",1,5,7,8,6,5
34,45,Male,160.3927312,120.351058,164.2869105,209.566026,223.6178008,194.9704216,,220.0953801,232.486284,200.2506637,211.1666254,228.3057234,134.22305,,,270.48067,135.5541862,123.6606201,188.6272,0.0833,,,,,30,0,25,3,3,9,5,14,,,,,,,9,9,7
35,24,Female,167.4785258,155.1264926,206.0578746,196.760092,206.4231895,167.5324696,190.6897701,183.9009314,216.0752734,289.8493819,248.0072661,265.0844568,222.9573856,281.4176999,241.54243,239.4169359,174.0278355,173.4890237,212.5465,0.0415,,,,,17,5,0,14,9,12,4,13,8,8,"My feet,head,hips",1,5,7,8,9,8
36,23,Male,206.8629507,286.4963418,302.6372365,361.649213,307.927337,198.7344262,191.1622404,220.5757708,252.99766,475.078957,288.476346,365.3460837,257.8958094,512.1230782,254.8300356,,107.4537455,137.1839918,278.0842,0.2823,6.5,1.0769,0.9231,-0.1538,15,2,0,4,7,9,9,13,7,4,medial geniculate nucleus,3,5,7,7,8,6
37,34,Male,85.38207664,49.01717233,43.13385091,52.99565544,,,,,,,,,,,,,,,57.6322,-0.2299,,,,,20,2,10,8,11,13,4,12,9,4,,5,2,3,3,5,5
38,30,Male,,,,,,,36.52079341,259.0933319,258.476127,543.3648002,338.4656465,,264.7705402,,,,,,283.4485,0.6233,,,,,8,1.5,15,5,10,11,7,14,9,7,sub bass was good but I've had better,3.5,5,9,2,5,5
39,56,Male,622.8567179,675.5575881,620.9072876,662.3101575,562.0096939,299.9089763,556.6535232,438.8810882,530.4510905,648.9568434,298.9708962,496.161302,445.2027622,,524.0777592,413.8075214,172.6283999,288.6740384,485.7656,0.0185,,,,,40,2,40,13,8,6,8,13,9,9,"Head,feet",1,6,9,8,8,5
40,35,Male,66.47458106,82.34298463,78.52741098,,82.55175795,,57.35277156,,45.40409908,,74.31762606,86.63585705,52.8157937,69.33838941,57.17061069,84.941351,79.29966681,,70.5518,0.2101,7.75,0.9677,1.0323,0.0645,25,0,0,7,9,11,5,12,8,7,overall vibrations,2,6,2,,,
41,44,Male,112.4826523,96.31711476,,120.9164835,137.9114261,127.2129617,62.41310051,,89.36361788,167.3236607,108.2713555,,,103.9972535,150.7345086,109.0054755,81.65981265,119.4282536,113.3598,0.1277,7.75,1.0323,0.9677,-0.0645,6,0,0,9,9,12,7,11,6,6,"chest,feet",1,3,5,9,9,8
42,36,Female,,122.7692556,88.45088842,,,,,123.5513558,51.60577043,,102.9412112,133.5499254,93.20554783,106.0413467,,,,,102.7644,0.3642,7,1.0000,1.0000,0.0000,,,,7,12,12,6,10,7,8,vibration-legs/head,2,6,4,7,8,5
43,30,Male,,,,,,,,,124.4868767,,141.1107062,175.9637123,134.4657681,154.0998076,145.1784747,130.3939267,111.5795597,,139.6599,0.1584,,,,,,,,5,9,11,5,9,,,,,,,9,9,7
44,26,Female,,,,,,,,,,,,,,,,,,,,,7,1,1,0,20,1,0,6,11,10,10,11,5,6,"Head,Chest",2,5,3,6,6,5
45,20,Female,,,,,,,,,,,,,,,,,,,,,,,,,13,1,0,5,8,11,9,9,3,4,"Vibration in my feet, Strong beat in my mind",2,2,4,6,5,8
46,30,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,11,8,14,7,5,mildly,5,3,5,8,9,8
47,34,Female,,,,,,,,,,,,,,,,,,,,,8.35,0.9581,1.0419,0.0838,5,5,30,13,9,9,8,13,,,,,,,3,5,5
48,52,Female,,,,,,,,,,,,,,,,,,,,,7.25,0.9655,1.0345,0.0690,0,0,1,6,14,8,5,9,6,9,Hips/feet/head,3,6,3,2,2,8
49,18,Female,,,,,,,,,,,,,,,,,,,,,1.75,1.1429,0.8571,-0.2857,12,7,4,2,7,11,12,11,1,9,"Vibrations in chest,feet",1,5,2,5,5,5
50,60,Female,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,4,13,12,9,4,7,8,vibrations throughout,1,8,4,,,
51,65,Male,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,8,8,7,7,12,9,7,slight vibration?may hum.,2,5,3,,,7
52,54,Male,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0,7,12,10,5,12,3,8,"sometimes chest,whole body earlier in 1st set",5,1,3,9,9,6
53,47,Female,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14,11,8,7,4,12,9,9,"organic,calming,meditative",,7,5,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,5,10,9,8,12,,,,,,,9,9,5
55,43,Male,,,,,,,,,,,,,,,,,,,,,,,,,30,0,43,5,9,9,5,11,6,6,Chest,2,5,2,,6,5
56,27,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,14,8,12,8,7,Intense on the head asnd core,7,8,6,,,
57,36,Male,,,,,,,,,,,,,,,,,,,,,,,,,10,8,0,8,8,10,5,12,,,,,,,6,5,8
58,20,Female,,,,,,,,,,,,,,,,,,,,,,,,,11,6,6,6,6,12,8,8,3,6,In my mind,1,3,6,,,
59,49,Male,,,,,,,,,,,,,,,,,,,,,,,,,30,30,25,11,8,8,6,12,,,,,,,8,7,5
60,32,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,9,3,8,,,,,,,,,
61,48,Male,,,,,,,,,,,,,,,,,,,,,,,,,25,2,0,7,6,8,7,7,7,7,,,5,8,9,9,6
62,52,Female,,,,,,,,,,,,,,,,,,,,,4.25,0.8235,1.1765,0.3529,,,,4,13,7,13,11,2,8,Vibration in body-pain in head-too much intensity,3,,2,,,